FID,FID_1,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Le_1,SHAPE_Area,Count_,Count_1,Count_2,Count_3
10,10,10,10,10,44,44,San Luis Obispo,California,06,079,06079,284693,85.799999999999997,269637,81.200000000000003,222756,5550,2536,8507,389,55973,19786,10113,137999,131638,13343,13773,14201,21727,27342,32108,29752,39253,37116,21187,13531,6304,39.399999999999999,37.299999999999997,41.600000000000001,102016,2.480000000000000,11443,15330,19052,30679,2553,5691,63691,2.970000000000000,117315,15299,60920,41096,2666.000000000000000,502.000000000000000,255378.000000000000000,249431.000000000000000,3319.900000000000091,6.481241596520000,6.481241587557726,0.853015303431000,31,1,63,1
11,11,11,11,11,45,45,Kern,California,06,029,06029,897549,110.000000000000000,839631,102.900000000000006,499766,48921,12676,34846,1252,413033,204314,37856,433108,406523,72885,68694,68473,72493,65339,122046,108500,108479,77285,43502,23473,8462,30.699999999999999,30.199999999999999,31.399999999999999,254610,3.150000000000000,23580,25629,74254,58472,12615,28989,191739,3.610000000000000,284367,29757,152828,101782,1938.000000000000000,1202.000000000000000,899395.000000000000000,2063462.000000000000000,8161.350000000000364,7.263192524220000,7.263192518464876,2.095858599970000,45,2,150,6
12,12,12,12,12,46,46,Kings,California,06,031,06031,152405,109.500000000000000,152982,109.900000000000006,83027,11014,2562,5620,271,77866,42996,7492,86344,66638,12877,11564,11324,11356,13158,25589,21878,20282,12924,6844,3809,1377,31.100000000000001,31.899999999999999,30.000000000000000,41233,3.190000000000000,3313,3884,12993,9299,2115,4818,31939,3.590000000000000,43867,2634,22329,18904,1056.000000000000000,638.000000000000000,501500.000000000000000,1732232.000000000000000,1391.390000000000100,2.888418664590000,2.888418660620551,0.360549974377000,10,0,31,0
13,13,13,13,13,47,47,Merced,California,06,047,06047,271689,137.400000000000006,255793,129.400000000000006,148381,9926,3473,18836,583,140485,62665,11929,128737,127056,22226,22167,22115,24451,20195,35060,31967,31007,22645,13205,7717,3038,29.600000000000001,28.699999999999999,30.600000000000001,75642,3.320000000000000,6068,7089,23700,17173,3854,8609,58767,3.740000000000000,83698,8056,41196,34446,2486.000000000000000,394.000000000000000,522593.000000000000000,1193694.000000000000000,1977.259999999999991,3.570339546200000,3.570339543014738,0.519710532410000,17,0,42,2
14,14,14,14,14,48,48,Fresno,California,06,019,06019,989303,164.599999999999994,930450,154.800000000000011,515145,49523,15649,89357,1405,468070,217085,42286,464811,465639,78980,75040,75409,81306,75290,132729,114369,115052,88854,49499,30304,13618,30.699999999999999,29.800000000000001,31.699999999999999,289391,3.150000000000000,25309,32003,79406,65116,13201,33947,214445,3.630000000000000,315531,26140,158691,130700,5683.000000000000000,303.000000000000000,1153351.000000000000000,875073.000000000000000,6011.149999999999636,9.157573883120000,9.157563496735332,1.571199148910000,34,0,84,2
15,15,15,15,15,49,49,Madera,California,06,039,06039,156213,72.500000000000000,150865,70.099999999999994,94456,5629,4136,2802,162,80992,37380,6300,72682,78183,11983,11756,11755,12224,11032,20562,19167,19291,15833,9868,5468,1926,33.100000000000001,31.500000000000000,34.299999999999997,43317,3.280000000000000,3342,3909,12660,12558,2056,4020,34093,3.630000000000000,49140,5823,27726,15591,1507.000000000000000,434.000000000000000,304248.000000000000000,1063548.000000000000000,2153.289999999999964,5.014815609460000,5.014812976289463,0.566175217135000,14,1,36,0
16,16,16,16,16,50,50,Tulare,California,06,107,06107,467780,96.700000000000003,442179,91.400000000000006,265618,7196,6993,15176,509,268065,128263,18424,221442,220737,41074,39950,38926,39043,32457,61859,54685,52351,40055,22946,13474,5359,29.600000000000001,28.800000000000001,30.500000000000000,130352,3.360000000000000,9512,12076,41260,30089,7285,15261,102856,3.740000000000000,141696,11344,76586,53766,4931.000000000000000,251.000000000000000,677506.000000000000000,814657.000000000000000,4838.619999999999891,5.371557443370000,5.371557445051105,1.256112510460000,26,0,102,3
17,17,17,17,17,51,51,Inyo,California,06,027,06027,18416,1.800000000000000,18546,1.800000000000000,13741,109,2121,243,16,3597,1676,640,9354,9192,1070,985,1134,1087,865,2020,1969,2961,2920,1818,1196,521,45.500000000000000,44.500000000000000,46.399999999999999,8049,2.250000000000000,1432,1297,1266,2346,245,540,4833,2.880000000000000,9478,1429,5121,2928,125.000000000000000,2647.000000000000000,18670.000000000000000,156903.000000000000000,10227.100000000000364,8.873535124269999,8.873535123535444,2.664796551300000,15,0,36,2
18,18,18,18,18,52,52,San Bernardino,California,06,071,06071,2153382,107.099999999999994,2035210,101.200000000000003,1153161,181862,22689,128603,6870,1001145,439661,102364,1011507,1023703,158790,157368,168792,179627,159908,282091,272949,277294,197043,103495,56979,20874,31.699999999999999,30.600000000000001,32.799999999999997,611618,3.260000000000000,50015,58080,183731,143196,27937,67392,470440,3.680000000000000,699637,88019,383573,228045,1249.000000000000000,62.000000000000000,29827.000000000000000,466157.000000000000000,20105.659999999999854,10.456291262100001,10.456291270192420,5.132244925290000,49,6,186,9
19,19,19,19,19,53,53,Mendocino,California,06,045,06045,89584,25.500000000000000,87841,25.000000000000000,67218,622,4277,1450,119,19505,10185,3970,43983,43858,5347,5259,5390,5613,4874,10704,10268,12476,14417,7556,3983,1954,41.600000000000001,40.000000000000000,43.299999999999997,34945,2.460000000000000,4782,5600,6044,9412,1345,2649,21591,3.020000000000000,40323,5378,20601,14344,1220.000000000000000,631.000000000000000,49298.000000000000000,122047.000000000000000,3512.090000000000146,6.278470497710000,6.278470512436553,0.951736465526000,22,0,41,3
